file,decade,year,regex你好,regex嗨,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗
国语.srt,1990,None,1,1,0,0,0
rebels.of.the.neon.god.1992.1080p.bluray.x264-melite.srt,1990,1992,2,8,1,0,0
Fallen.2016.BluRay.720p.x264.AC3-CMCT.chs&eng.ass,1990,2016,2,1,0,0,0
菊豆.Ju.Dou.1990.1080p.BDMV.AVC.DTS-HD.MA.5.1.ass,1990,1990,0,0,0,0,0
twin.dragons.1992.dubbed.1080p.bluray.x264-sadpanda.srt,1990,1992,0,0,0,0,0
春光乍泄 Happy.Together.1997.RESTORED.1080p.BluRay.x264-CiNEPHiLiA.chs&eng.ass,1990,1997,0,1,0,0,0
唐伯虎点秋香 Flirting.Scholar.1993.BluRay.1080p.2Audio.TrueHD.5.1.x264-beAst.chs.ass,1990,1993,0,10,0,1,0
【已校对】[红灯停，绿灯行].signal.left.turn.right.1996.chs_v2.srt,1990,1996,4,1,0,0,0
[非常突然]expect.the.unexpected.1998.frbluray.chs.srt,1990,1998,0,0,0,0,0
A Good Woman (2004).srt,1990,2004,6,0,0,0,0
Encounter of the Spooky Kind II.chs.ass,1990,None,1,0,0,0,0
【首杀字幕组】双龙会2.Judwaa.2.2017.Hindi.1080p.BluRay.x264.DTS.5.1.ESub-Hon3y.真全本,1990,2017,0,0,0,0,0
赌神3之少年赌神[国语字幕]God.of.Gamblers.III.The.Early.Stage.1996.FRA.Blu-ray.1080p.AVC.DTS-HD.MA.5.1.srt,1990,1996,1,1,0,2,0
Keep.Cool.1997.DVDRip.AC3.x264.chs.srt,1990,1997,1,12,0,0,0
三毛从军记.srt,1990,None,0,1,0,0,0
Fist.of.Legend.1994.精武英雄.BluRay.1080P.H264.AAC.ass,1990,1994,2,3,1,1,0
The.Soong.Sisters.1997.720p.BluRay.x264.DTS-WiKi.繁体.srt,1990,1997,4,0,0,0,0
甲方乙方.The.Dream.Factory.1997.1080p.BluRay.REMUX.AVC.TrueHD.4.0.ass,1990,1997,5,3,2,0,0
赌神2[国语字幕]God.of.Gamblers.Return.1994.FRA.Blu-ray.1080p.AVC.DTS-HD.MA.5.1.srt,1990,1994,3,0,0,0,0
Troublesome.Night.2.1997.BluRay.720p.x264.FLAC.2Audios-CMCT.chs.srt,1990,1997,3,3,0,0,0
Once.Upon.a.Time.in.China.II.1992.CHINESE.REMASTERED.1080p.BluRay.x265-VXT.简体中文字幕AndyX.Net重新矫正(适配时长1 h 53 min 8 s 520 ms),1990,1992,0,0,0,0,0
背靠背，脸对脸 Back.to.Back.Face.to.Face.1994.CHINESE.1080p.BluRay.x264.FLAC.2.0-HANDJOB.chs.ass,1990,1994,3,0,0,0,0
The.Unmatchable.Match.1990.BluRay.720p.x264.AC3.2Audios-CMCT.chs.ass,1990,1990,2,1,0,1,0
Police Story 3 Supercop Remastered 1992 1080p BluRay DTS 2Audio x264-HDS.srt,1990,1992,0,0,0,0,0
新不了情.love without end.1970.sb.dvdrip.srt,1990,1970,2,1,0,4,0
The.Element.of.Crime.1984.CC.D9.chs.srt,1990,1984,0,1,0,0,0
驱魔警察.magic.cop.1990.gbr.gbr.bluray.chs.srt,1990,1990,0,0,0,0,0
太极张三丰 The Tai-chi Master （1993） 特效简体字幕.ass,1990,1993,0,0,0,0,0
Treasure.Hunt.1994.720p.BluRay.x264-WiKi_chs.srt,1990,1994,0,0,0,0,0
开心鬼上错身 Happy Ghost 5 DVD.1991.对应国语.chi.srt,1990,1991,1,0,0,1,0
.DS_Store,1990,None,0,0,0,0,0
A.Chinese.Ghost Story.The.Tsui.Hark.Animation.1997.HK.BluRay.国语简体.ass,1990,1997,0,0,0,0,0
香港制造.made.in.hong.kong.1997.1080p.bluray.x264-regret.chs.ass,1990,1997,0,0,0,0,0
阮玲玉 centre.stage.1992.1080p.bluray.x264-melite.srt,1990,1992,3,0,0,0,0
"40carats-livullmann,genekelly.avi.chs.srt",1990,None,13,14,0,0,0
独立时代.A.Confucian.Confusion.1994.DVDRip.HALFCD.CHS.srt,1990,1994,0,0,0,0,0
千王之王（2000）匹配（1：33：03）,1990,2000,0,0,0,0,0
暗战2.Running.Out.Of.Time.2.2001.Blu-Ray.1080P.AVC.TrueHD.7.1.CHD.eng.srt,1990,2001,0,0,0,0,0
Chungking.Express.1994.CHINESE.2160p.UHD.BluRay.x265.10bit.HDR.DTS-HD.MA.5.1-RARBG.ass,1990,1994,2,5,0,2,0
南海十三郎 The.Mad.Phoenix.1997.CHINESE.1080p.BluRay.x264-HANDJOB.chs.ass,1990,1997,2,0,0,2,0
和平饭店 peace hotel 1995 hkg blu-ray 1080p avc truehd 5.1-doraemon.srt,1990,1995,0,0,0,0,0
过年.1995.web-dl.the spring festival.2audio.@至尊宝_track6_[chi].srt,1990,1995,0,1,0,0,0
东方三侠2现代豪侠传[国配]executioners.1993.fra.uhd.blu-ray.2160p.hevc.dts-hd.ma.5.1.srt,1990,1993,0,0,0,0,0
God.of.Gamblers.II.1991.BluRay.1080p.x265.10bit.2Audio-MiniHD.srt,1990,1991,0,4,0,0,0
王祖贤贴吧精准校对版，新流星蝴蝶剑，简体中文字幕.srt,1990,None,0,0,0,0,0
倩女幽魂2 简体.ass,1990,None,0,2,0,0,0
秋菊打官司.The.Story.of.Qiu.Ju.1992.1080p.BDMV.AVC.LPCM.2.0.ass,1990,1992,0,0,0,0,1
Dirty.Weekend.2015.720p.WEB-DL.DD5.1.H264-RARBG.chs.srt,1990,2015,6,33,1,3,0
kindaichi.shonen.no.jikenbo.shanghai.ningyo.densetsu.1997.1080p.bluray.dd2.0.x264-hds.chs.srt,1990,1997,0,0,0,0,0
宝莲灯_1999_简体中文,1990,1999,0,3,0,0,0
纵横四海 Once.A.Thief.1991.1080p.BluRay.x264-WiKi.chs&eng.ass,1990,1991,2,4,0,1,0
大话西游之大圣娶亲 A.Chinese.Odyssey.Part.Two.Cinderella.1995.1080p.BluRay.REMUX.AVC.DTS-HD.MA.6.1.chs&eng.ass,1990,1995,0,0,0,0,0
【国配版】Eighteen.Springs.1997.BluRay.1080p.x265.10bit.3Audio-MiniHD,1990,1997,0,0,0,0,0
风柜来的人 the.boys.from.fengkuei.1983.720p.bluray.x264-usury.chs.srt,1990,1983,2,2,0,0,0
Cook.Up.a.Storm.2017.720p.BluRay.x264-WiKi.HK.chs.srt,1990,2017,11,0,0,0,0
Young.and.Dangerous.1996.CHINESE.1080p.NF.WEBRip.DDP2.0.x264-NOGRP.chs.srt,1990,1996,2,0,0,1,0
城市猎人 City Hunter （1993）特效简体字幕.ass,1990,1993,0,0,0,0,0
[武状元苏乞儿].King.of.Beggars.1992.BluRay.国配.srt,1990,1992,0,0,0,1,0
白发魔女2.the.bride.with.white.hair.2.1993.hkg.blu-ray.1080p.avc.truehd5.1-mteam_chi.srt,1990,1993,1,0,0,0,0
The.Unity.of.Heroes.2018.720p.BluRay.x264-WiKi.chs.srt,1990,2018,1,0,2,0,0
[男妇女主任].nan.fu.nv.zhu.ren.1998.cctv6hd.720p.x264-chdtv.srt,1990,1998,0,1,0,0,0
嗜血战神.ass,1990,None,0,1,0,0,0
鬼打鬼6甩皮鬼(金装鬼打鬼).skin-stripper.1992.dvdrip.h264.aac.960p-beizhizi .srt,1990,1992,0,0,0,0,0
wicked.city.1987.1080p.bluray.x264-haiku.srt,1990,1987,0,0,0,0,0
The.Chinese.Feast.1995.CHINESE.1080p.BluRay.x264.DTS-CHD.chs.srt,1990,1995,0,3,0,0,0
咏春[国语字幕]wing.chun.1994.ger.blu-ray.1080p.avc.dd.5.1.srt,1990,1994,0,0,0,0,0
Lifeline.1997.720p.BluRay.x264-WiKi.繁体.srt,1990,1997,2,3,0,0,0
红番区.Rumble.in.the.Bronx.1995.BluRay.1080p.DTS.2Audio.简体中文chs.srt,1990,1995,0,0,0,0,0
百变星君.Sixty.Million.Dollar.Man.1995.CHINESE.1080p.BluRay.H264.AAC-VXT.简体中文字幕.srt,1990,1995,1,1,0,1,0
少年吔，安啦.dust.of.angels.1992.bluray.chs.srt,1990,1992,0,0,0,0,0
绝代双骄.handsome.siblings.1992.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt,1990,1992,0,0,0,0,0
大决战1辽沈战役.ass,1990,None,2,0,0,1,0
活着.To.Live.1994.1080p.BDMV.AVC.LPCM.2.0.ass,1990,1994,0,0,0,0,0
赌圣.all.for.the.winner.1990.bluray.chs.srt,1990,1990,4,0,0,1,0
简体.ass,1990,None,2,22,0,1,0
Tricky.Business.1995.BluRay.720p.x264.FLAC.2Audios-CMCT.chs.srt,1990,1995,2,0,0,0,0
once upon a time in china ii.1992.bluray.chs.asxzwang.srt,1990,1992,0,0,0,0,0
爆裂刑警.bullets.over.summer.1999.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt,1990,1999,1,0,0,0,0
每天爱你8小时.your.place.or.mine.1998.hkg.blu-ray.1080p.avc.truehd5.1-mteam_chi.srt,1990,1998,1,0,0,0,0
双旗镇刀客.the.swordsman.in.double.flag.town.1991.1080p.bluray.h264.aac-vxt.srt,1990,1991,0,0,0,0,0
洗澡.shower.1999.web-dl.4k.h265.aac-中文字幕.ass,1990,1999,0,2,0,0,0
红樱桃.red cherry.1995.chs.ass,1990,1995,0,0,0,1,0
玛德莲娜.srt,1990,None,0,4,1,0,0
princess.yang.kwei-fei.1955.1080p.bluray.x264-usury.chs.ass,1990,1955,0,2,0,0,0
大决战3平津战役.ass,1990,None,13,0,0,2,0
古今大战秦俑情.fight.and.love.with.a.terracotta.warrior.1989.1080p.nf.web-dl.ddp2.0.x264-doa.chs.srt,1990,1989,2,0,0,0,0
alls.wellends.well.97.1997.1080p.web-dl.aac.h.264.chd.chs.srt,1990,1997,3,1,5,1,0
nan.guo.zai.jan.nan.guo.aka.goodbye.south.goodbye.1996.dvdrip.x264.chs.srt,1990,1996,2,0,0,0,0
千王1991.great.pretenders.1991.hkg.blu-ray.1080p.avc.lpcm.2.0-mteam_chi.srt,1990,1991,1,2,0,0,0
【与龙共舞(国粤)】Dances.With.the.Dragon.1991.Bluray.1080p.DTS.2Audio.x264-CHD.srt,1990,1991,2,0,0,1,0
决战之后  決戰之後 after the final battle (1991),1990,1991,28,0,0,1,0
新上海滩.shanghai.grand.1996.dvdrip.x264.ac3-dtmm.chs.srt,1990,1996,0,0,1,0,0
赌城大亨之新哥传奇.casino.tycoon.1992.chinese.1080p.bluray.h264.aac-vxt,1990,1992,2,1,0,0,0
风云雄霸天下stormrider.1998.bluray.1080p.dtshd.2audio.x264-chd.srt,1990,1998,0,0,0,0,0
vive.l.amour.1994.dvdrip.divx.chs.srt,1990,1994,3,1,0,0,0
精武英雄.fist.of.legend.1994.bluray.us.1080p.dd2.0.2audio.x264-chd.chs.ass,1990,1994,3,1,1,1,0
三毛从军记 精校 完美 电影版 带歌词,1990,None,0,0,0,0,0
小武 Pickpocket.1997.1080p.AMZN.WEB-DL.DDP2.0.H.264-TEPES.chs.ass,1990,1997,0,2,0,0,0
六指琴魔.demon.of.the.lute.1983.fra.blu-ray.1080i.avc.dts-hd.ma.2.0.srt,1990,1983,0,0,0,2,0
father.son.and.the.old.car.1990.dvdremux.dd5.1-lch.chs.srt,1990,1990,5,0,0,0,0
锦绣前程.long.and.winding.road.1994.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt,1990,1994,3,6,0,0,0
滚滚红尘.red.dust.1990.hkg.blu-ray.1080p.avc.dts-hd.ma.2.0-mteam_chi.srt,1990,1990,0,0,0,0,0
逃学威龙2 fight.back.to.school.ii.1992.bluray.720p.x264.ac3.2audios-cmct.srt,1990,1992,3,0,0,2,0
【CC标准收藏版】海上花.Flowers.of.Shanghai.1998.1080p.BluRay.x264-USURY.chs.srt,1990,1998,0,0,0,0,0
星愿.fly.me.to.polaris.1999.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt,1990,1999,2,0,0,1,0
东邪西毒Ashes.Of.Time.1994.CHINESE.1080p.BluRay.x265-VXT,1990,1994,0,0,0,0,0
"金枝玉叶.He's.a.Woman,.She's.a.Man.1994.DVDRip.X264.AA.chs.srt",1990,1994,0,0,0,0,0
The.Three.Swordsmen.1994.WEB-DL.4K.HFR.H.265.AAC-CTRLTV.chs.ass,1990,1994,0,0,0,0,0
五魁.the.wooden.man's.bride【机翻中文字幕】,1990,None,0,0,0,0,0
川島芳子(1990).ass,1990,1990,0,0,0,1,0
漫画威龙之大话特务 히트맨.2019.ass,1990,2019,1,0,0,0,0
hd4u-rumblebr-720.chs.srt,1990,None,2,0,0,0,0
drunken.master.ii.1994.bluray.3audio.720p.x264-chd.chs.srt,1990,1994,2,0,0,0,0
新难兄难弟.1080p.srt,1990,1080,6,3,0,0,0
枪火（1999）匹配（1：23：59）,1990,1999,0,0,0,1,0
dragon seed 1944 dvdrip x264-hj.srt,1990,1944,2,1,2,1,0
【简体中文】本命年.black.snow.1990.chs.srt,1990,1990,5,22,0,1,0
【CC标准收藏版】牯岭街少年杀人事件.A.Brighter.Summer.Day.1991.Criterion.Collection.720p.BluRay.x264-WiKi.chs.srt,1990,1991,0,0,0,0,0
喜宴.The.Wedding.Banquet.1993.1080p.BluRay.x264-PublicHD.srt,1990,1993,0,7,0,0,0
The.Emperor.And.The.Assassin.1999.ass,1990,1999,0,0,0,0,0
鹿鼎记2神龙教[粤语字幕]Royal.Tramp.1992.GBR.Blu-ray.1080p.AVC.DTS-HD.MA.5.1.srt,1990,1992,0,1,0,0,0
黄河绝恋.griefovertheyellowi.1999.track7.chs.srt,1990,1999,2,0,0,2,0
古惑仔3之只手遮天Young.and.Dangerous.3.1996.720p.BluRay.x264-WiKi.srt,1990,1996,0,0,0,0,0
《賭俠ⅱ之上海灘賭聖》港版蓝光粤语廣東話字幕.ass,1990,None,1,2,0,0,0
超级学校霸王.future.cops.1993.chinese.1080p.bluray.h264.aac-vxt.srt,1990,1993,1,0,0,1,0
Young.and.Dangerous.2.1996.CHINESE.1080p.NF.WEBRip.DDP2.0.x264-NOGRP.chs.srt,1990,1996,4,2,0,2,0
賭聖２：街頭賭聖 .1995.ass,1990,1995,0,0,0,0,0
Ruan Ling Yu 1991 1080p USA Blu-ray AVC LPCM 2 0-MM,1990,1991,4,0,0,0,0
the.incredible.monk.2018.bdrip.x264.2ac3.srt,1990,2018,0,0,0,0,0
Who.You.Think.I.Am.2019.720p.BluRay.x264-WiKi.chs&eng.ass,1990,2019,4,2,0,0,0
逃学威龙iii之龙过鸡年 fight.back.to.school.iii.1993.bluray.720p.x264.ac3.2audios-cmct.srt,1990,1993,5,1,0,1,0
阳光灿烂的日子 In.the.Heat.of.the.Sun.1994.Restoration.1080p.BluRay.x264.DTS-CTRLHD.chs.ass,1990,1994,6,4,0,0,0
city.of.ember.2008.720p.bluray.x264-sinners.chs.srt,1990,2008,0,7,0,1,0
[岁月风云之上海皇帝].lord.of.east.china.sea.1993.chinese.1080p.bluray.x264.dd2.0-fgt.v2.srt,1990,1993,8,0,0,0,0
师兄撞鬼.国语中字.1990.1080p.ass,1990,1990,3,1,0,1,0
孝子贤孙伺候着.ass,1990,None,0,2,0,0,0
梁祝.srt,1990,None,0,0,0,0,0
大决战2淮海战役.ass,1990,None,12,1,0,3,0
[一本漫画闯天涯].my.hero.1990.bluray.国配.srt,1990,1990,1,0,0,1,0
新天龙八部之天山童姥.the.dragon.chronicles.1994.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt,1990,1994,0,0,0,0,0
不见不散.Be.There.or.Be.Square.1998.1080p.BluRay.REMUX.AVC.TrueHD.2.0.ass,1990,1998,6,0,0,0,2
大红灯笼高高挂.Raise.the.Red.Lantern.1991.1080p.BDMV.AVC.DTS-HD.MA.5.1.ass,1990,1991,0,0,0,0,0
醉拳2.Drunken.Master.II.1994.Bluray.720p.x264.AC3.精校国配字幕.srt,1990,1994,0,0,0,0,0
[没事偷着乐].a.tree.in.the.house.2000.hdtv.720p.x264.ac3-cmct.srt,1990,2000,2,4,0,1,2
飞鹰计划[国语字幕]Armour.of.God.II.Operation.Condor.1991.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1990,1991,0,0,0,0,0
龙在边缘.century.of.the.dragon.1999.dvdrip.chs.srt,1990,1999,0,0,0,0,0
神偷谍影（逐字精校版）1h29m版本.ass,1990,None,0,0,0,0,0
国产凌凌漆[国语字幕]From.Beijing.with.Love.1994.FRA.Blu-ray.1080p.AVC.DTS-HD.MA.5.1.srt,1990,1994,0,0,0,0,0
the.crimson.petal.and.the.white.ep4.cht&eng.srt,1990,None,5,1,0,0,0
[赵先生].mr.zhao.1998.dvdrip.x264.ac3-cmct【精校注释版】.srt,1990,1998,1,5,0,0,0
简体字幕.ass,1990,None,0,0,0,0,0
哗鬼旅行团 forced nightmare (1992) hdtv,1990,1992,0,0,0,0,0
棋王.king.of.chess.1991.web-dl.1080p.x264.aac.srt,1990,1991,5,0,0,0,1
the.butcher.the.chef.and.the.swordsman.2011.cn.dvdrip.xvid-wzw.chs.srt,1990,2011,0,1,0,0,2
新龙门客栈.Dragon.Inn.1992.CHINESE.1080p.BluRay.H264.AAC-VXT.ass,1990,1992,0,0,0,0,0
九品芝麻官.Hail.the.Judge.1994.srt,1990,1994,0,0,0,0,0
[特警新人类2：机动任务].gen.y.cops.2000.dvdrip.x264.aac.chs.srt,1990,2000,3,0,0,0,0
水浒传之英雄本色.All.Men.Are.Brothers.Blood.of.the.Leopard.1993.WEB-DL.1080p.H.264.AAC-CTRLTV.chs.ass,1990,1993,0,0,0,0,0
Cyrano.2021.1080p.BluRay.x265-RARBG,1990,2021,1,0,0,0,0
ending.note.2011.srt,1990,2011,0,0,0,0,0
cold.fish.2010.1080p.bluray.x264-sonido.srt,1990,2010,6,0,0,0,0
倚天屠龙记之魔教教主（1993） 特效简体字幕.ass,1990,1993,1,0,0,0,0
南海十三郎.the.mad.phoenix.1997.blu-ray.remux.1080p.avc.truehd5.1-ghyx.chs.srt,1990,1997,2,0,0,2,0
横空出世 Roaring Across the Horizon 1999 WEB-DL 1080P H264 AAC-doraemon.chs.srt,1990,1999,0,0,0,0,0
1999 宝莲灯.srt,1990,1999,0,3,0,0,0
hill of no return 1992 1080p web-dl.ass,1990,1992,0,0,0,0,0
Once.Upon.a.Time.in.China.III.1993.CHINESE.REMASTERED.1080p.BluRay.x265-VXT（CC版）,1990,1993,3,1,0,0,0
神经刀与飞天猫 Flying.Dagger.1993.DVD9.chs.srt,1990,1993,3,0,0,0,0
